Date,actual_return,rf_signal,rf_proba,vix,rf_static_return,bh_return,random_return,random_signal,wf_signal,wf_proba,wf_return,vix_signal,vix_return,combined_signal,combined_return,year,eq_bh,eq_random,eq_static,eq_wf,eq_vix,eq_combined,dd_static,dd_vix,dd_bh
2021-09-30,-0.0122221075614511,1,0.6008954864501332,23.13999938964844,-0.0122221075614511,-0.0122221075614511,-0.0005,0,1.0,0.6034718052819109,-0.0122221075614511,0,-0.0,0,-0.0,2021,1.1584420060947787,0.9944142970581913,1.019086341062314,1.00255531550524,1.1198365923277669,1.1005712642812802,-0.051941791858046885,-0.0033595002205666336,-0.05003433669101726
2021-10-01,0.0118838854250378,1,0.5268890151259573,21.100000381469727,0.0118838854250378,0.0118838854250378,0.0,0,1.0,0.5197905488983684,0.0118838854250378,0,0.0,0,0.0,2021,1.17220879816676,0.9944142970581913,1.0311970463777196,1.0144695680069669,1.1198365923277669,1.1005712642812802,-0.04067517673622133,-0.0033595002205666336,-0.038745053590533284
2021-10-04,-0.0128960068110042,1,0.6498789193577856,22.959999084472656,-0.0128960068110042,-0.0128960068110042,-0.0133960068110042,1,1.0,0.6283677936274613,-0.0128960068110042,0,-0.0,0,-0.0,2021,1.1570919855216824,0.9810931163618398,1.0178987222441451,1.0013869615483926,1.1198365923277669,1.1005712642812802,-0.053046636190996393,-0.0033595002205666336,-0.05114140392654124
2021-10-05,0.0104048894899415,1,0.5734471305071146,21.299999237060547,0.0104048894899415,0.0104048894899415,-0.0005,0,1.0,0.5885581646736174,0.0104048894899415,0,0.0,0,0.0,2021,1.1691313997607324,0.980602569803659,1.028489845961048,1.011806282219972,1.1198365923277669,1.1005712642812802,-0.04319369108843537,-0.0033595002205666336,-0.04126863509281588
2021-10-06,0.0041560960910764,1,0.6274472971619661,21.0,0.0041560960910764,0.0041560960910764,0.0,0,1.0,0.6100488710745655,0.0041560960910764,0,0.0,0,0.0,2021,1.1739904222012327,0.980602569803659,1.0327643485895586,1.0160114463544332,1.1198365923277669,1.1005712642812802,-0.03921711212805078,-0.0033595002205666336,-0.03728405541473276
2021-10-07,0.0086457254602025,0,0.49392767491782175,19.540000915527344,-0.0005,0.0086457254602025,0.0,0,0.0,0.49503680856622134,-0.0005,0,0.0,0,0.0,2021,1.184140421084492,0.980602569803659,1.032247966415264,1.015503440631256,1.1198365923277669,1.1005712642812802,-0.0396975035719866,-0.0033595002205666336,-0.02896067766168893
2021-10-08,-0.0018237657480466,1,0.5525918639061649,18.770000457763672,-0.0023237657480465997,-0.0018237657480466,-0.0,0,1.0,0.5316193166445633,-0.0023237657480465997,1,-0.0023237657480465997,1,-0.0023237657480465997,2021,1.1819808263436407,0.980602569803659,1.0298492639474175,1.0131436485188936,1.1172343544111063,1.098013794474059,-0.04192902162094958,-0.005675459277070215,-0.03073162591777583
2021-10-11,-0.0072397356694998,1,0.6186829761244672,20.0,-0.0072397356694998,-0.0072397356694998,-0.0,0,1.0,0.5886043791870658,-0.0072397356694998,0,-0.0005,0,-0.0005,2021,1.1734235975944958,0.980602569803659,1.0223934274970092,1.0058087563083842,1.116675737233901,1.097464787576822,-0.04886520225703298,-0.006172621547431543,-0.03774887273893696
2021-10-12,-0.0024614889637033,1,0.5495775431716456,19.850000381469727,-0.0024614889637033,-0.0024614889637033,-0.0029614889637033,1,1.0,0.5708382977715858,-0.0024614889637033,1,-0.0029614889637033,1,-0.0029614889637033,2021,1.1705352283592678,0.9776985261154064,1.0198768173586625,1.003332969155135,1.1133687143620474,1.0942146577203602,-0.051206410064671484,-0.009115830360545031,-0.04011744326900119
2021-10-13,0.0035976900036116,1,0.5180900516525316,18.63999938964844,0.0035976900036116,0.0035976900036116,0.0035976900036116,1,1.0,0.5060501448947785,0.0035976900036116,1,0.0035976900036116,1,0.0035976900036116,2021,1.1747464512492112,0.9812159823293577,1.0235460179893892,1.0069426501485583,1.1173742698560418,1.0981513028562462,-0.04779294485067025,-0.005550936288696043,-0.03666408339000894
